"Town","FIPS","Year","Grade","Race","SubsidizedMealEligibility","LanguageTrack","Disability","MeasureType","Variable","Value"
"New Britain","0900350440",2013,NA,"Hispanic of any race",NA,NA,NA,"Percent","Students Chronically Absent",28.32
"New Haven","0900952070",2013,NA,"Hispanic of any race",NA,NA,NA,"Percent","Students Chronically Absent",17.82
"New London","0901152350",2013,NA,"Hispanic of any race",NA,NA,NA,"Percent","Students Chronically Absent",19.51
"New Milford","0900552630",2013,NA,"Hispanic of any race",NA,NA,NA,"Percent","Students Chronically Absent",14.15
"Newington","0900352140",2013,NA,"Hispanic of any race",NA,NA,NA,"Percent","Students Chronically Absent",6.34
"North Haven","0900954870",2013,NA,"Hispanic of any race",NA,NA,NA,"Percent","Students Chronically Absent",15.71
"Norwalk","0900156060",2013,NA,"Hispanic of any race",NA,NA,NA,"Percent","Students Chronically Absent",11.86
"Norwich","0901156270",2013,NA,"Hispanic of any race",NA,NA,NA,"Percent","Students Chronically Absent",18.68
"Plainville","0900360120",2013,NA,"Hispanic of any race",NA,NA,NA,"Percent","Students Chronically Absent",14.71
"Rocky Hill","0900365370",2013,NA,"Hispanic of any race",NA,NA,NA,"Percent","Students Chronically Absent",14.04
"Seymour","0900967610",2013,NA,"Hispanic of any race",NA,NA,NA,"Percent","Students Chronically Absent",16.67
"Shelton","0900168170",2013,NA,"Hispanic of any race",NA,NA,NA,"Percent","Students Chronically Absent",20.82
"Simsbury","0900368940",2013,NA,"Hispanic of any race",NA,NA,NA,"Percent","Students Chronically Absent",11.4
"South Windsor","0900371390",2013,NA,"Hispanic of any race",NA,NA,NA,"Percent","Students Chronically Absent",8.36
"Southington","0900370550",2013,NA,"Hispanic of any race",NA,NA,NA,"Percent","Students Chronically Absent",9.62
"Stamford","0900173070",2013,NA,"Hispanic of any race",NA,NA,NA,"Percent","Students Chronically Absent",17.68
"Stratford","0900174190",2013,NA,"Hispanic of any race",NA,NA,NA,"Percent","Students Chronically Absent",14.67
"Torrington","0900576570",2013,NA,"Hispanic of any race",NA,NA,NA,"Percent","Students Chronically Absent",14.72
"Trumbull","0900177200",2013,NA,"Hispanic of any race",NA,NA,NA,"Percent","Students Chronically Absent",4.9
"Vernon","0901378250",2013,NA,"Hispanic of any race",NA,NA,NA,"Percent","Students Chronically Absent",12.03
"Wallingford","0900978740",2013,NA,"Hispanic of any race",NA,NA,NA,"Percent","Students Chronically Absent",12.62
"Waterbury","0900980070",2013,NA,"Hispanic of any race",NA,NA,NA,"Percent","Students Chronically Absent",22.52
"Watertown","0900580490",2013,NA,"Hispanic of any race",NA,NA,NA,"Percent","Students Chronically Absent",10.55
"West Hartford","0900382590",2013,NA,"Hispanic of any race",NA,NA,NA,"Percent","Students Chronically Absent",10.96
"West Haven","0900982870",2013,NA,"Hispanic of any race",NA,NA,NA,"Percent","Students Chronically Absent",17.57
"Wethersfield","0900384900",2013,NA,"Hispanic of any race",NA,NA,NA,"Percent","Students Chronically Absent",16.73
"Wilton","0900186370",2013,NA,"Hispanic of any race",NA,NA,NA,"Percent","Students Chronically Absent",22.88
"Windham","0901586790",2013,NA,"Hispanic of any race",NA,NA,NA,"Percent","Students Chronically Absent",20.61
"Windsor","0900387000",2013,NA,"Hispanic of any race",NA,NA,NA,"Percent","Students Chronically Absent",12.73
"Windsor Locks","0900387070",2013,NA,"Hispanic of any race",NA,NA,NA,"Percent","Students Chronically Absent",16.77
"Connecticut","09",2012,NA,"Native Hawaiian or other Pacific Islander",NA,NA,NA,"Percent","Students Chronically Absent",11.38
"Connecticut","09",2013,NA,"Native Hawaiian or other Pacific Islander",NA,NA,NA,"Percent","Students Chronically Absent",12.04
"Bristol","0900308490",2012,NA,"Two or more races",NA,NA,NA,"Percent","Students Chronically Absent",11.06
"Connecticut","09",2012,NA,"Two or more races",NA,NA,NA,"Percent","Students Chronically Absent",10.92
"Danbury","0900118500",2012,NA,"Two or more races",NA,NA,NA,"Percent","Students Chronically Absent",14.2
"Enfield","0900325990",2012,NA,"Two or more races",NA,NA,NA,"Percent","Students Chronically Absent",8.7
"Groton","0901134250",2012,NA,"Two or more races",NA,NA,NA,"Percent","Students Chronically Absent",14.75
"Hartford","0900337070",2012,NA,"Two or more races",NA,NA,NA,"Percent","Students Chronically Absent",23.85
"Killingly","0901540500",2012,NA,"Two or more races",NA,NA,NA,"Percent","Students Chronically Absent",12.5
"Manchester","0900344700",2012,NA,"Two or more races",NA,NA,NA,"Percent","Students Chronically Absent",8.33
"Montville","0901148900",2012,NA,"Two or more races",NA,NA,NA,"Percent","Students Chronically Absent",13.46
"Naugatuck","0900949950",2012,NA,"Two or more races",NA,NA,NA,"Percent","Students Chronically Absent",17.28
"New Britain","0900350440",2012,NA,"Two or more races",NA,NA,NA,"Percent","Students Chronically Absent",20.35
"New London","0901152350",2012,NA,"Two or more races",NA,NA,NA,"Percent","Students Chronically Absent",26.19
"Norwich","0901156270",2012,NA,"Two or more races",NA,NA,NA,"Percent","Students Chronically Absent",15.58
"Waterbury","0900980070",2012,NA,"Two or more races",NA,NA,NA,"Percent","Students Chronically Absent",12.22
"West Haven","0900982870",2012,NA,"Two or more races",NA,NA,NA,"Percent","Students Chronically Absent",16.28
"Bristol","0900308490",2013,NA,"Two or more races",NA,NA,NA,"Percent","Students Chronically Absent",15.67
"Connecticut","09",2013,NA,"Two or more races",NA,NA,NA,"Percent","Students Chronically Absent",11.85
"Danbury","0900118500",2013,NA,"Two or more races",NA,NA,NA,"Percent","Students Chronically Absent",14.29
"Enfield","0900325990",2013,NA,"Two or more races",NA,NA,NA,"Percent","Students Chronically Absent",11.44
"Greenwich","0900133620",2013,NA,"Two or more races",NA,NA,NA,"Percent","Students Chronically Absent",8.5
"Groton","0901134250",2013,NA,"Two or more races",NA,NA,NA,"Percent","Students Chronically Absent",10.14
"Hamden","0900935650",2013,NA,"Two or more races",NA,NA,NA,"Percent","Students Chronically Absent",11.83
"Hartford","0900337070",2013,NA,"Two or more races",NA,NA,NA,"Percent","Students Chronically Absent",22.88
"Killingly","0901540500",2013,NA,"Two or more races",NA,NA,NA,"Percent","Students Chronically Absent",17.36
"Manchester","0900344700",2013,NA,"Two or more races",NA,NA,NA,"Percent","Students Chronically Absent",8.87
"Middletown","0900747360",2013,NA,"Two or more races",NA,NA,NA,"Percent","Students Chronically Absent",14.72
"Montville","0901148900",2013,NA,"Two or more races",NA,NA,NA,"Percent","Students Chronically Absent",9.22
"Naugatuck","0900949950",2013,NA,"Two or more races",NA,NA,NA,"Percent","Students Chronically Absent",17.37
"New Britain","0900350440",2013,NA,"Two or more races",NA,NA,NA,"Percent","Students Chronically Absent",28.42
"New London","0901152350",2013,NA,"Two or more races",NA,NA,NA,"Percent","Students Chronically Absent",15.9
"Norwich","0901156270",2013,NA,"Two or more races",NA,NA,NA,"Percent","Students Chronically Absent",13.65
"Stamford","0900173070",2013,NA,"Two or more races",NA,NA,NA,"Percent","Students Chronically Absent",16.67
"Torrington","0900576570",2013,NA,"Two or more races",NA,NA,NA,"Percent","Students Chronically Absent",15.75
"Waterbury","0900980070",2013,NA,"Two or more races",NA,NA,NA,"Percent","Students Chronically Absent",16.6
"West Haven","0900982870",2013,NA,"Two or more races",NA,NA,NA,"Percent","Students Chronically Absent",18.66
"Ansonia","0900901220",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",9.63
"Ashford","0901501430",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",8.84
"Avon","0900302060",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",4.02
"Beacon Falls","0900903250",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",7.41
"Berlin","0900304300",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",5.02
"Bethel","0900104720",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",5.6
"Bethlehem","0900504930",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",3.03
"Branford","0900907310",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",7.55
"Bridgeport","0900108070",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",15.93
"Bridgewater","0900508210",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",7.97
"Bristol","0900308490",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",8.76
"Brookfield","0900108980",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",4.41
"Brooklyn","0901509190",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",6.28
"Burlington","0900310100",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",8.77
"Canton","0900312270",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",3.43
"Cheshire","0900914160",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",5.47
"Clinton","0900715350",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",9.99
"Colchester","0901115910",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",2.26
"Columbia","0901316400",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",7.02
"Connecticut","09",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",8.02
"Coventry","0901317800",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",6.02
"Cromwell","0900718080",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",5.18
"Danbury","0900118500",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",10.61
"Darien","0900118850",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",3.91
"Derby","0900919550",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",11.46
"Durham","0900720810",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",4.48
"East Granby","0900322070",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",4.54
"East Haddam","0900722280",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",7.86
"East Hampton","0900722490",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",5.96
"East Hartford","0900322630",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",9.73
"East Haven","0900922910",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",17.67
"East Lyme","0901123400",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",6.3
"East Windsor","0900324800",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",10.63
"Easton","0900123890",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",3.78
"Ellington","0901325360",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",3.39
"Enfield","0900325990",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",11.36
"Fairfield","0900126620",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",4.75
"Farmington","0900327600",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",5.2
"Glastonbury","0900331240",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",3.06
"Goshen","0900532290",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",4.22
"Granby","0900332640",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",3.8
"Greenwich","0900133620",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",5.11
"Griswold","0901133900",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",11
"Groton","0901134250",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",11.55
"Guilford","0900934950",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",6.42
"Haddam","0900735230",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",4.1
"Hamden","0900935650",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",11.22
"Hartford","0900337070",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",10.33
"Harwinton","0900537280",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",8.77
"Hebron","0901337910",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",3.65
"Killingly","0901540500",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",14.01
"Killingworth","0900740710",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",4.1
"Lebanon","0901142390",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",9.92
"Ledyard","0901142600",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",7.77
"Lisbon","0901143230",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",5.29
"Litchfield","0900543370",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",6.57
"Lyme","0901144210",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",4.49
"Madison","0900944560",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",4.07
"Manchester","0900344700",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",20.08
"Mansfield","0901344910",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",4.59
"Marlborough","0900345820",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",4.33
"Meriden","0900946520",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",7.75
"Middlebury","0900946940",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",4.63
"Middlefield","0900747080",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",4.48
"Middletown","0900747360",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",9.02
"Milford","0900947535",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",10.18
"Monroe","0900148620",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",6.33
"Montville","0901148900",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",7.66
"Morris","0900549460",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",4.22
"Naugatuck","0900949950",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",11.86
"New Britain","0900350440",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",20.97
"New Canaan","0900150580",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",9.09
"New Fairfield","0900150860",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",7.95
"New Hartford","0900551350",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",4.6
"New Haven","0900952070",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",15
"New London","0901152350",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",27.97
"New Milford","0900552630",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",10.62
"Newington","0900352140",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",3.77
"Newtown","0900152980",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",2.63
"North Branford","0900953890",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",14.72
"North Canaan","0900554030",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",12.85
"North Haven","0900954870",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",7.58
"North Stonington","0901155500",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",9.06
"Norwalk","0900156060",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",9.41
"Norwich","0901156270",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",13.5
"Old Lyme","0901157040",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",4.49
"Old Saybrook","0900757320",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",16.58
"Orange","0900957600",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",3.66
"Oxford","0900958300",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",6.01
"Plainfield","0901559980",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",11.76
"Plainville","0900360120",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",9.29
"Plymouth","0900560750",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",8.05
"Portland","0900761800",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",4.09
"Prospect","0900962290",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",7.41
"Putnam","0901562710",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",11.97
"Redding","0900163480",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",5.5
"Ridgefield","0900163970",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",5.19
"Rocky Hill","0900365370",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",5.95
"Roxbury","0900565930",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",7.97
"Seymour","0900967610",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",6.46
"Shelton","0900168170",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",6.73
"Sherman","0900168310",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",5.71
"Simsbury","0900368940",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",4.65
"Somers","0901369220",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",14.26
"South Windsor","0900371390",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",12.91
"Southbury","0900969640",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",4.63
"Southington","0900370550",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",6.55
"Stafford","0901372090",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",7.77
"Stamford","0900173070",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",6.69
"Sterling","0901573420",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",8.37
"Stonington","0901173770",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",16.32
"Stratford","0900174190",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",8.54
"Suffield","0900374540",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",7.16
"Thomaston","0900575730",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",5.65
"Thompson","0901575870",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",11.66
"Tolland","0901376290",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",4.92
"Torrington","0900576570",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",13.91
"Trumbull","0900177200",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",5.96
"Vernon","0901378250",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",7.72
"Voluntown","0901178600",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",8.37
"Wallingford","0900978740",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",10.57
"Warren","0900579510",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",4.22
"Washington","0900579720",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",7.97
"Waterbury","0900980070",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",14.05
"Waterford","0901180280",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",6.76
"Watertown","0900580490",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",11.14
"West Hartford","0900382590",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",4.19
"West Haven","0900982870",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",14.27
"Westbrook","0900781680",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",4.4
"Weston","0900183430",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",11.09
"Westport","0900183500",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",1.87
"Wethersfield","0900384900",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",3.81
"Wilton","0900186370",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",15.98
"Winchester","0900586440",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",10.73
"Windham","0901586790",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",13.52
"Windsor","0900387000",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",6.05
"Windsor Locks","0900387070",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",10.48
"Wolcott","0900987560",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",3.15
"Woodbridge","0900987700",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",4.11
"Woodbury","0900587910",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",3.03
"Woodstock","0901588190",2012,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",4.3
"Ansonia","0900901220",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",13.08
"Ashford","0901501430",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",7.12
"Avon","0900302060",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",4.48
"Beacon Falls","0900903250",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",6.99
"Berlin","0900304300",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",4.41
"Bethany","0900904580",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",5.42
"Bethel","0900104720",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",6.55
"Bethlehem","0900504930",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",4.23
"Bolton","0901306260",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",2.62
"Branford","0900907310",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",7.69
"Bridgeport","0900108070",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",23.46
"Bridgewater","0900508210",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",10.69
"Bristol","0900308490",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",7.23
"Brookfield","0900108980",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",1.81
"Brooklyn","0901509190",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",5.83
"Burlington","0900310100",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",5.22
"Canterbury","0901512130",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",6.28
"Canton","0900312270",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",3.92
"Cheshire","0900914160",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",4.21
"Chester","0900714300",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",9.01
"Clinton","0900715350",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",7.54
"Colchester","0901115910",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",5.73
"Connecticut","09",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",8.2
"Coventry","0901317800",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",6.74
"Cromwell","0900718080",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",4.45
"Danbury","0900118500",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",8.84
"Darien","0900118850",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",3.61
"Derby","0900919550",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",12.77
"Durham","0900720810",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",4.82
"East Granby","0900322070",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",4.71
"East Haddam","0900722280",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",7.41
"East Hampton","0900722490",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",5.89
"East Hartford","0900322630",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",15.61
"East Haven","0900922910",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",16.66
"East Lyme","0901123400",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",4.65
"East Windsor","0900324800",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",9.49
"Easton","0900123890",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",3.04
"Ellington","0901325360",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",4.39
"Enfield","0900325990",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",10.6
"Fairfield","0900126620",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",3.31
"Farmington","0900327600",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",6.05
"Glastonbury","0900331240",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",3.1
"Goshen","0900532290",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",5.76
"Granby","0900332640",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",3.32
"Greenwich","0900133620",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",7.54
"Griswold","0901133900",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",9.93
"Groton","0901134250",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",10.96
"Guilford","0900934950",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",6.82
"Haddam","0900735230",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",3.17
"Hamden","0900935650",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",13.34
"Hartford","0900337070",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",11.22
"Harwinton","0900537280",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",5.22
"Hebron","0901337910",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",3.14
"Killingly","0901540500",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",15.56
"Killingworth","0900740710",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",3.17
"Lebanon","0901142390",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",12.81
"Ledyard","0901142600",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",7.56
"Lisbon","0901143230",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",6.84
"Litchfield","0900543370",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",7.46
"Lyme","0901144210",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",4.44
"Madison","0900944560",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",3.74
"Manchester","0900344700",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",11.4
"Mansfield","0901344910",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",6.15
"Marlborough","0900345820",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",3.87
"Meriden","0900946520",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",12.04
"Middlebury","0900946940",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",5.76
"Middlefield","0900747080",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",4.82
"Middletown","0900747360",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",9.38
"Milford","0900947535",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",12.19
"Monroe","0900148620",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",5.86
"Montville","0901148900",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",6.72
"Morris","0900549460",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",5.76
"Naugatuck","0900949950",2013,NA,"White",NA,NA,NA,"Percent","Students Chronically Absent",12.93
